epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,682.003,2.02317,3.64988,1.88648,0.42244,0.24178,0.20984,0.10271,2.0007,2.8015,1.98867,0.000150923,0.000150923,0.000150923
2,1346.71,1.96759,2.42088,1.79821,0.49591,0.28431,0.26211,0.12915,1.95889,2.36734,1.93174,0.000296599,0.000296599,0.000296599
3,2001.69,1.92077,2.16118,1.76639,0.45009,0.32506,0.31859,0.15117,1.90396,2.16836,1.93299,0.000436268,0.000436268,0.000436268
4,2655.59,1.87395,2.04982,1.7515,0.49062,0.34413,0.31955,0.15063,1.959,2.28307,1.93969,0.000427973,0.000427973,0.000427973
5,3305.1,1.84934,1.97881,1.72341,0.63833,0.32251,0.3559,0.17391,1.86506,2.02371,1.87076,0.000418964,0.000418964,0.000418964
6,3951.6,1.81826,1.91625,1.70181,0.62876,0.3635,0.37541,0.18245,1.87091,1.99868,1.87022,0.000409955,0.000409955,0.000409955
7,4599.08,1.79662,1.85524,1.69107,0.61153,0.37156,0.38224,0.19344,1.8344,1.95214,1.85612,0.000400946,0.000400946,0.000400946
8,5245.18,1.76794,1.78134,1.66265,0.56011,0.38105,0.40814,0.19898,1.84076,1.90004,1.8382,0.000391937,0.000391937,0.000391937
9,5888.35,1.75545,1.74711,1.65759,0.64451,0.40352,0.42097,0.20648,1.82749,1.84696,1.83666,0.000382928,0.000382928,0.000382928
10,6531.08,1.74176,1.74661,1.6592,0.57705,0.38008,0.4048,0.20422,1.84798,1.85448,1.81563,0.000373919,0.000373919,0.000373919
11,7178.09,1.74939,1.6989,1.63535,0.67496,0.37979,0.42114,0.20993,1.80084,1.80296,1.80099,0.00036491,0.00036491,0.00036491
12,7824.91,1.70983,1.6286,1.61016,0.65875,0.4079,0.43408,0.20859,1.79959,1.73206,1.81374,0.000355901,0.000355901,0.000355901
13,8469.9,1.71038,1.61955,1.6155,0.64397,0.4115,0.44429,0.22142,1.77463,1.71783,1.78882,0.000346892,0.000346892,0.000346892
14,9110.59,1.69176,1.59534,1.60146,0.6522,0.43279,0.44595,0.22802,1.75773,1.70382,1.7696,0.000337883,0.000337883,0.000337883
15,9756.98,1.69655,1.57681,1.59181,0.68498,0.42061,0.44716,0.22487,1.75479,1.6985,1.75616,0.000328874,0.000328874,0.000328874
16,10394.3,1.67778,1.55727,1.57729,0.71793,0.43327,0.47179,0.23919,1.7624,1.63501,1.77583,0.000319865,0.000319865,0.000319865
17,11030.5,1.6723,1.53615,1.58728,0.66934,0.41506,0.43188,0.21842,1.77643,1.70949,1.79003,0.000310856,0.000310856,0.000310856
18,11663.2,1.65044,1.51735,1.57319,0.60866,0.43179,0.46758,0.23625,1.75366,1.61301,1.76107,0.000301847,0.000301847,0.000301847
19,12296,1.64712,1.49256,1.56456,0.72627,0.42417,0.46589,0.23244,1.76316,1.62734,1.77359,0.000292838,0.000292838,0.000292838
20,12929.6,1.64636,1.48173,1.56744,0.71169,0.44383,0.47952,0.24254,1.74872,1.59521,1.75821,0.000283829,0.000283829,0.000283829
21,13566.3,1.646,1.48516,1.56965,0.66423,0.44365,0.47395,0.23931,1.77359,1.58851,1.78717,0.00027482,0.00027482,0.00027482
22,14198.3,1.61514,1.42612,1.5412,0.67431,0.4348,0.46785,0.23731,1.76153,1.599,1.74972,0.000265811,0.000265811,0.000265811
23,14830.9,1.60579,1.41134,1.54911,0.69642,0.45068,0.47653,0.24338,1.75181,1.56448,1.76359,0.000256802,0.000256802,0.000256802
24,15460.9,1.60852,1.41227,1.53729,0.66141,0.45467,0.48705,0.24648,1.73356,1.54764,1.73644,0.000247793,0.000247793,0.000247793
25,16096.4,1.61444,1.38089,1.52885,0.65449,0.44696,0.48499,0.24781,1.73898,1.56124,1.74756,0.000238784,0.000238784,0.000238784
26,16730.7,1.59546,1.38079,1.53168,0.68761,0.44633,0.49023,0.24822,1.73659,1.54254,1.7365,0.000229775,0.000229775,0.000229775
27,17363.6,1.58895,1.38466,1.5256,0.64797,0.47558,0.49206,0.24881,1.74532,1.53332,1.74854,0.000220766,0.000220766,0.000220766
28,17998.7,1.5847,1.34378,1.5175,0.6692,0.45944,0.49838,0.25675,1.73794,1.50769,1.73075,0.000211757,0.000211757,0.000211757
29,18633.9,1.57556,1.33671,1.52387,0.7102,0.44728,0.49129,0.2509,1.72918,1.52826,1.72696,0.000202748,0.000202748,0.000202748
30,19264.4,1.56221,1.31099,1.49936,0.65739,0.45321,0.48461,0.25159,1.73367,1.53424,1.7388,0.000193739,0.000193739,0.000193739
31,19903.3,1.57118,1.30321,1.50132,0.67634,0.46068,0.50106,0.25533,1.7338,1.49454,1.73219,0.00018473,0.00018473,0.00018473
32,20538.2,1.56627,1.30782,1.51092,0.68258,0.46014,0.50429,0.25794,1.72306,1.47487,1.72067,0.000175721,0.000175721,0.000175721
33,21171.7,1.53031,1.25782,1.47398,0.69535,0.47253,0.50109,0.25355,1.74722,1.48193,1.75037,0.000166712,0.000166712,0.000166712
34,21803.3,1.53289,1.26677,1.49474,0.66132,0.47274,0.50231,0.26063,1.72116,1.48522,1.71859,0.000157703,0.000157703,0.000157703
35,22437.5,1.54329,1.27654,1.48878,0.68117,0.47096,0.50508,0.26291,1.71925,1.47091,1.71793,0.000148694,0.000148694,0.000148694
36,23069.9,1.53161,1.25096,1.48276,0.67307,0.46735,0.50833,0.26178,1.73137,1.47193,1.73252,0.000139685,0.000139685,0.000139685
37,23701.8,1.52847,1.25149,1.47971,0.69046,0.47587,0.51139,0.26481,1.73251,1.45806,1.72967,0.000130676,0.000130676,0.000130676
38,24333.5,1.53566,1.24458,1.48293,0.71796,0.46681,0.50478,0.26044,1.72949,1.46599,1.72485,0.000121667,0.000121667,0.000121667
39,24969.1,1.51847,1.22927,1.47377,0.72594,0.47774,0.51707,0.26516,1.7176,1.44006,1.72122,0.000112658,0.000112658,0.000112658
40,25604.1,1.51983,1.23101,1.47245,0.68203,0.4833,0.50701,0.26014,1.73407,1.44976,1.73546,0.000103649,0.000103649,0.000103649
41,26223.7,1.50606,1.18482,1.53522,0.72781,0.46344,0.50813,0.25963,1.72263,1.45719,1.72787,9.464e-05,9.464e-05,9.464e-05
