epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,461.914,2.01751,4.03318,1.82075,0.34503,0.27875,0.22227,0.0988,1.99516,3.01443,1.88588,0.000143885,0.000143885,0.000143885
2,921.87,1.99144,2.58902,1.74772,0.47902,0.42902,0.40411,0.18497,1.92845,2.10991,1.83596,0.000283165,0.000283165,0.000283165
3,1349.7,1.96183,2.09173,1.70923,0.48293,0.46039,0.42972,0.18597,1.9927,1.94092,1.87964,0.000416703,0.000416703,0.000416703
4,1776.95,1.88825,1.91211,1.69664,0.51527,0.47573,0.47842,0.20274,1.99655,1.83665,1.85873,0.000409161,0.000409161,0.000409161
5,2205.52,1.85704,1.80289,1.65287,0.51026,0.48449,0.49136,0.21301,1.95315,1.77433,1.80135,0.000400548,0.000400548,0.000400548
6,2630.09,1.84532,1.72302,1.64361,0.6754,0.53679,0.57704,0.27529,1.85305,1.61094,1.76018,0.000391935,0.000391935,0.000391935
7,3057.14,1.8075,1.67176,1.62853,0.64689,0.55476,0.58601,0.27471,1.88332,1.58064,1.78338,0.000383322,0.000383322,0.000383322
8,3488.2,1.79399,1.63344,1.61036,0.66821,0.57051,0.59584,0.27088,1.88627,1.56229,1.78042,0.000374709,0.000374709,0.000374709
9,3918.38,1.75982,1.57048,1.58563,0.68002,0.57485,0.60902,0.27887,1.8901,1.54056,1.78034,0.000366096,0.000366096,0.000366096
10,4344.78,1.76066,1.5371,1.58885,0.71416,0.55129,0.60752,0.28557,1.84617,1.52408,1.74134,0.000357483,0.000357483,0.000357483
11,4769.89,1.76456,1.52799,1.58447,0.71022,0.56645,0.6221,0.28705,1.85374,1.49309,1.74601,0.00034887,0.00034887,0.00034887
12,5196.56,1.73246,1.4977,1.57046,0.69516,0.56909,0.61,0.27595,1.90207,1.49935,1.78614,0.000340257,0.000340257,0.000340257
13,5622.68,1.72723,1.43935,1.54943,0.71918,0.57118,0.63188,0.29259,1.88901,1.45094,1.77443,0.000331644,0.000331644,0.000331644
14,6047.86,1.72505,1.47082,1.57953,0.69857,0.5942,0.6285,0.27788,1.90805,1.47938,1.79486,0.000323031,0.000323031,0.000323031
15,6472.42,1.71699,1.42235,1.55491,0.75146,0.60095,0.64209,0.2943,1.86567,1.43332,1.78063,0.000314418,0.000314418,0.000314418
16,6910.31,1.701,1.40347,1.54241,0.72584,0.59002,0.63931,0.30495,1.84966,1.42019,1.76309,0.000305805,0.000305805,0.000305805
17,7336.83,1.70568,1.39888,1.54798,0.75351,0.58855,0.6524,0.30377,1.8551,1.40367,1.76545,0.000297192,0.000297192,0.000297192
18,7764.16,1.69333,1.37668,1.53221,0.75827,0.5986,0.65547,0.30765,1.84,1.40586,1.74188,0.000288579,0.000288579,0.000288579
19,8187.64,1.67539,1.37764,1.53996,0.76443,0.59618,0.65601,0.30693,1.84866,1.39138,1.75557,0.000279966,0.000279966,0.000279966
20,8615.31,1.67035,1.34551,1.52279,0.74658,0.5976,0.65745,0.30444,1.86852,1.38148,1.76995,0.000271353,0.000271353,0.000271353
21,9040.79,1.66765,1.3413,1.51289,0.74698,0.62686,0.66162,0.30852,1.84358,1.36147,1.75044,0.00026274,0.00026274,0.00026274
22,9463.76,1.67116,1.33935,1.52055,0.76177,0.6061,0.66144,0.30328,1.88522,1.35711,1.77788,0.000254127,0.000254127,0.000254127
23,9887.5,1.65453,1.32468,1.52347,0.77254,0.60301,0.66251,0.31186,1.85175,1.34671,1.76448,0.000245514,0.000245514,0.000245514
24,10315.4,1.64232,1.31661,1.52334,0.76659,0.63023,0.67213,0.31905,1.84315,1.34109,1.74704,0.000236901,0.000236901,0.000236901
25,10743.5,1.64767,1.29643,1.49974,0.76919,0.60919,0.66318,0.31137,1.85927,1.34595,1.77305,0.000228288,0.000228288,0.000228288
26,11171.5,1.64827,1.29707,1.50888,0.74918,0.629,0.67355,0.31882,1.83449,1.3244,1.74913,0.000219675,0.000219675,0.000219675
27,11597.1,1.63244,1.29391,1.50371,0.79723,0.60746,0.67452,0.31262,1.85836,1.32674,1.76682,0.000211062,0.000211062,0.000211062
28,12022.2,1.62849,1.27026,1.48856,0.78447,0.60438,0.66803,0.31671,1.85251,1.32447,1.74975,0.000202449,0.000202449,0.000202449
29,12445.7,1.62867,1.26849,1.49091,0.75317,0.62046,0.66767,0.31018,1.86506,1.33146,1.76558,0.000193836,0.000193836,0.000193836
30,12871,1.63214,1.2758,1.49812,0.7608,0.62522,0.67135,0.31126,1.86062,1.32344,1.76952,0.000185223,0.000185223,0.000185223
31,13293.8,1.60811,1.24374,1.47269,0.75984,0.63015,0.6708,0.3083,1.87192,1.3173,1.77778,0.00017661,0.00017661,0.00017661
32,13719.4,1.60719,1.23261,1.47804,0.78391,0.62568,0.67988,0.32417,1.81041,1.28173,1.72661,0.000167997,0.000167997,0.000167997
33,14146.7,1.59951,1.2297,1.46903,0.78132,0.62254,0.67221,0.30494,1.90456,1.31704,1.7898,0.000159384,0.000159384,0.000159384
34,14575.4,1.59976,1.22783,1.46683,0.77388,0.64026,0.67968,0.32025,1.83938,1.29292,1.75323,0.000150771,0.000150771,0.000150771
35,15001.3,1.59678,1.2168,1.47043,0.77113,0.62822,0.67497,0.30806,1.88695,1.30035,1.80232,0.000142158,0.000142158,0.000142158
36,15429.5,1.58739,1.19524,1.45431,0.77216,0.62711,0.67685,0.31562,1.84787,1.28766,1.75781,0.000133545,0.000133545,0.000133545
37,15852.8,1.58355,1.20885,1.46566,0.78394,0.63267,0.68232,0.32258,1.84169,1.26878,1.75796,0.000124932,0.000124932,0.000124932
38,16277.1,1.58148,1.2007,1.46253,0.78403,0.62382,0.68121,0.31467,1.87262,1.2822,1.77533,0.000116319,0.000116319,0.000116319
