epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.1929,1.43848,3.42245,1.62423,0.00289,0.74242,0.23557,0.19505,1.34099,4.17892,1.67262,0.00011669,0.00011669,0.00011669
2,70.3347,1.16631,2.68595,1.4187,0.00303,0.78409,0.2847,0.21583,1.59362,3.8366,1.79035,0.000245099,0.000245099,0.000245099
3,105.454,1.22191,2.11447,1.42091,0.00336,0.87121,0.43555,0.2837,1.3843,3.82014,1.76243,0.000368227,0.000368227,0.000368227
4,137.346,1.30036,2.17268,1.443,1,0.15673,0.51534,0.28355,1.39773,3.7318,1.69093,0.000486074,0.000486074,0.000486074
5,170.141,1.38516,1.91288,1.42543,1,0.22331,0.63444,0.33748,1.35151,3.65886,1.64378,0.00059864,0.00059864,0.00059864
6,202.153,1.23082,1.79838,1.32753,0.86517,0.56061,0.68026,0.35383,1.40485,3.08915,1.49875,0.000705924,0.000705924,0.000705924
7,234.072,1.2697,1.65086,1.34587,0.62812,0.52766,0.61452,0.36907,1.54029,2.80469,1.52832,0.000807928,0.000807928,0.000807928
8,267.499,1.24444,1.70484,1.31068,0.79919,0.58489,0.75156,0.42753,1.48285,2.65317,1.60499,0.000904651,0.000904651,0.000904651
9,305.173,1.14534,1.61975,1.31212,0.47291,0.55682,0.6562,0.38202,1.61171,3.03787,1.58294,0.000996093,0.000996093,0.000996093
10,332.03,1.15816,1.51632,1.30554,0.59516,0.55491,0.70139,0.36391,1.71163,3.69654,1.7515,0.00108225,0.00108225,0.00108225
11,356.612,1.15818,1.48433,1.25846,0.71513,0.60227,0.71604,0.41698,1.52451,3.0942,1.71237,0.00116313,0.00116313,0.00116313
12,381.491,1.10749,1.35707,1.22845,0.92791,0.54674,0.77098,0.39903,1.60192,2.57865,1.90798,0.00123873,0.00123873,0.00123873
13,406.291,1.15998,1.32904,1.22214,0.8487,0.86916,0.87547,0.49057,1.57996,2.16837,1.97677,0.00127092,0.00127092,0.00127092
14,430.968,1.22779,1.42856,1.36643,0.60361,0.78409,0.72615,0.37964,1.81613,2.66995,2.15662,0.00123791,0.00123791,0.00123791
15,455.366,1.13366,1.42767,1.30137,0.708,0.71838,0.71207,0.42597,1.80414,2.41419,2.12688,0.00120491,0.00120491,0.00120491
16,482.004,1.13578,1.55846,1.34118,0.69174,0.69697,0.69866,0.39651,2.00003,2.51906,2.18896,0.0011719,0.0011719,0.0011719
17,506.611,1.23333,1.45161,1.30072,0.67257,0.73485,0.69138,0.39953,1.95268,2.39237,2.14212,0.00113889,0.00113889,0.00113889
18,532.321,1.17136,1.48408,1.29062,0.88695,0.64251,0.74905,0.41133,1.74917,2.19073,1.96734,0.00110589,0.00110589,0.00110589
19,557.428,1.06114,1.29367,1.17862,0.95537,0.85763,0.91205,0.43897,1.70352,2.17865,1.79956,0.00107288,0.00107288,0.00107288
20,583.098,1.02225,1.32263,1.18671,0.9286,0.91667,0.91535,0.4136,1.72459,2.33585,1.78555,0.00103987,0.00103987,0.00103987
21,611.851,1.05506,1.27648,1.23416,0.81822,0.82576,0.80622,0.41268,1.84054,2.13805,1.81878,0.00100687,0.00100687,0.00100687
22,638.128,1.02734,1.27483,1.19176,0.81959,0.73485,0.76526,0.40985,1.85476,2.21801,1.89965,0.000973861,0.000973861,0.000973861
